Internal SKU,Brand/Vendor,Product Type,Product Title,Price (USD)
INF-TYS-BUT-2026,Taylor Stitch,Knits,The Button Down Polo in Charcoal Herringbone,138.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Algiers Stripe,89.6
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Sea Moss Plaid,128.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Deep Sea Seersucker,138.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Dark Navy Seersucker,138.0
INF-TYS-DAV-2026,Taylor Stitch,Wovens,The Davis Shirt in Grey Skies Floral,89.6
INF-TYS-DAV-2026,Taylor Stitch,Wovens,The Davis Shirt in High Seas,89.6
INF-TYS-BRE-2026,Taylor Stitch,Bottoms,The Breakwater Short in Brick Chambray,118.0
INF-TYS-BRE-2026,Taylor Stitch,Bottoms,The Breakwater Short in Washed Indigo Chambray,118.0
INF-TYS-BUT-2026,Taylor Stitch,Knits,The Button Down Polo in Heather Oat Crochet,158.0
INF-TYS-BUT-2026,Taylor Stitch,Knits,The Button Down Polo in Dark Navy Crochet,158.0
INF-TYS-DEA-2026,Taylor Stitch,Outerwear,The Dean Jacket in Dark Spruce Twill,238.0
INF-TYS-CON-2026,Taylor Stitch,Wovens,The Conrad Shirt in Cloud Cover Dobby,96.6
INF-TYS-CON-2026,Taylor Stitch,Wovens,The Conrad Shirt in Pickstitch Stripe Dobby,96.6
INF-TYS-SUR-2026,Taylor Stitch,Bottoms,The Surplus Short in Field Olive Reverse Sateen,128.0
INF-TYS-SUR-2026,Taylor Stitch,Bottoms,The Surplus Short in Navy Reverse Sateen,128.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Heather Oat Crepe,108.0
INF-TYS-VAL-2026,Taylor Stitch,Knits,The Valencia Sweater Polo in Heather Cilantro Rib,145.0
INF-TYS-VAL-2026,Taylor Stitch,Knits,The Valencia Sweater Polo in Heather Grey Rib,101.5
INF-TYS-VAL-2026,Taylor Stitch,Knits,The Valencia Sweater Polo in Heather Clear Blue Rib,101.5
INF-TYS-VAL-2026,Taylor Stitch,Knits,The Valencia Sweater Polo in Heather Coal Rib,145.0
INF-TYS-CON-2026,Taylor Stitch,Wovens,The Conrad Shirt in Deep Sea Twist,96.6
INF-TYS-CON-2026,Taylor Stitch,Wovens,The Conrad Shirt in Port Twist,96.6
INF-TYS-STA-2026,Taylor Stitch,Outerwear,The Station Jacket in Petrol Blue Broken Twill,228.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Navy Stripe Seersucker,138.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Sand Stripe Seersucker,138.0
INF-TYS-NIC-2026,Taylor Stitch,Knits,The Nichols Polo in Heather Grey Birdseye Merino,188.0
INF-TYS-COT-2026,Taylor Stitch,Knits,The Cotton Hemp Polo in Surf Green Pique,61.6
INF-TYS-COT-2026,Taylor Stitch,Knits,The Cotton Hemp Polo in Straw Pique,61.6
INF-TYS-COT-2026,Taylor Stitch,Knits,The Cotton Hemp Polo in Asphalt Pique,61.6
INF-TYS-CUT-2026,Taylor Stitch,Wovens,The Cutter Overshirt in Ocean Plaid,178.0
INF-TYS-CUT-2026,Taylor Stitch,Wovens,The Cutter Overshirt in Sage Plaid,178.0
INF-TYS-CUT-2026,Taylor Stitch,Wovens,The Cutter Overshirt in Salmon Plaid,178.0
INF-TYS-TAY-2026,Taylor Stitch,Accessories,The Taylor Stitch x Hypeadelic Cap v2.50,150.0
INF-TYS-TAY-2026,Taylor Stitch,Accessories,The Taylor Stitch x Hypeadelic Cap v2.49,150.0
INF-TYS-TAY-2026,Taylor Stitch,Accessories,The Taylor Stitch x Hypeadelic Cap v2.48,150.0
